id,name,type,lat,lon,status_lokasi,contact_number
bbeeb6c0-2342-41af-9323-16a14a718886,Pol Sub Sektor Cempaka Mas,POLICE_STATION,-6.1659856,106.8782997,Buka 24 Jam,
6165fb0c-e155-4f6e-9a55-01b0e9778021,Pertamina,GAS_STATION,-6.2733512,106.8188454,Buka,
123f6e2b-e342-4158-b234-f98f7a7cd026,Pertamina,GAS_STATION,-6.2667961,106.8156886,Buka,
644986e0-1c6c-4a77-9a7c-f2b093da0cdf,Subdit Gakkum Ditlantas Polda Metro Jaya,POLICE_STATION,-6.2427798,106.8467989,Buka 24 Jam,
9c86b9fe-39ca-4b45-b94a-a2b927f461cf,RS Hermina Jatinegara,HOSPITAL,-6.2212375,106.8647139,Buka 24 Jam,
4cb37fa2-39f9-49f2-98af-4ad7928a9215,Bidakara Medical Center,HOSPITAL,-6.2401608,106.8411685,Buka 24 Jam,
56a11762-d2f3-4514-b204-d666b3d85ba1,Hospital Terdekat,HOSPITAL,-6.2942592,106.8825979,Buka 24 Jam,
f78ecaaf-c249-4e60-bedc-9a1009c080ae,Pertamina,GAS_STATION,-6.1981028,106.8548421,Buka,
fb80070b-3158-426c-bf52-1c85db7a1589,Pertamina,GAS_STATION,-6.2026135,106.857364,Buka,
e35c4ee5-5f0e-4511-a481-e19ce98fe2ac,Rumah Sakit Bedah Bina Estetika,HOSPITAL,-6.1991941,106.8375324,Buka 24 Jam,
1ec14fd2-0a79-42ec-b445-6db552535fc9,Rumah Sakit Mata JEC,HOSPITAL,-6.1986006,106.8368349,Buka 24 Jam,
0ef4887f-b5de-47a2-a67a-62ec81981812,POLSEK CABANGBUNGIN,POLICE_STATION,-6.0745035,107.1429952,Buka 24 Jam,
941436fb-99f4-4970-b51c-2419be871e9d,KORAMIL,POLICE_STATION,-6.074351,107.1429637,Buka 24 Jam,
28502cb6-fb67-4890-b36e-e6e172f04396,Pom Bensin Batu Jaya,GAS_STATION,-6.0716157,107.1566658,Buka,
26f2967c-d027-4eae-a607-1e14823920ca,SPBU 34.137.11,GAS_STATION,-6.3007049,106.8696779,Buka,
9b943fb0-0204-4d75-8720-e9f53182d5e8,Rumah Sakit Umum Al Fauzan,HOSPITAL,-6.2995986,106.8690857,Buka 24 Jam,
0a43d963-0a24-4163-b72c-2f5f8ec5fe4f,RSIA Tambak,HOSPITAL,-6.2063926,106.8484395,Buka 24 Jam,
ed4d5132-ddc7-4b8d-9c45-fde2020aa9a6,National Traffic Management Centre POLRI,POLICE_STATION,-6.2446395,106.8558321,Buka 24 Jam,
41cc487f-b90c-4a4f-86e0-7b7515eaca82,RS K,HOSPITAL,-6.2020346,106.8468714,Buka 24 Jam,
c217d6c7-548a-4021-a300-a7f51ed338bf,SPBU 34 13414,GAS_STATION,-6.2265168,106.8797333,Buka,
2b469735-1f95-4186-8673-8c5121572b27,SPBU 34.13420,GAS_STATION,-6.2389729,106.8883577,Buka,
23e63e8c-0675-4af5-b356-42aeac2d6185,Pertamina,GAS_STATION,-6.1923026,106.865025,Buka,
d26ed249-57ca-4811-8c79-6492c88e8fbb,Rumah Sakit Umum Daerah Budi Asih,HOSPITAL,-6.2558465,106.8630464,Buka 24 Jam,
7a9d22ba-d984-4d15-b440-f37b262f2c9b,SPBG PGN Pondok Ungu,GAS_STATION,-6.2009101,106.9755423,Buka,
bcd4b3e4-ae01-430a-af2b-1ccfadee460f,Polsubsektor Patrajasa,POLICE_STATION,-6.2319245,106.8349713,Buka 24 Jam,
3e2c1995-f69d-4733-ac0a-2debb5304582,Sub Sektor Gema Kuningan,POLICE_STATION,-6.2230648,106.8351029,Buka 24 Jam,
80b3ab7f-54b4-491d-9e91-623b723fcd5f,Kantor Polisi SubSektor Tebet Timur,POLICE_STATION,-6.2270943,106.8582007,Buka 24 Jam,
1aec31d0-b4af-45f0-99de-8860711f049b,SBPU 34-13602 Pertamina,GAS_STATION,-6.2521274,106.8646491,Buka,
16b5a66c-4018-4327-968e-f26f8aeb674e,Polsubsektor Mega Kuningan,POLICE_STATION,-6.2249244,106.8259367,Buka 24 Jam,
de2f78a8-c2bf-4f82-babd-0533e0a9b1f3,Polsek Cempaka Putih Barat,POLICE_STATION,-6.1845918,106.8707076,Buka 24 Jam,
250d94c4-fcee-4ba9-b2b9-54c72b9b7eff,Polsek Cempaka Putih Barat,POLICE_STATION,-6.184915,106.8707639,Buka 24 Jam,
44ad8b4d-e61e-4b0e-b3f8-7b7b567aea70,Pertamina,GAS_STATION,-6.1966512,106.874851,Buka,
